1,33,11,2021-01-01
2,24,59,2021-01-01
3,24,11,2021-01-02
4,5,86,2021-03-29
5,47,60,2021-04-27
6,33,54,2021-05-27
7,34,22,2021-06-25
8,29,57,2021-07-24
9,35,67,2021-08-22
10,47,62,2021-09-20
11,14,16,2021-10-20
12,3,86,2021-11-18
13,7,93,2021-12-17
14,26,16,2022-01-15
15,19,100,2022-02-13
16,16,41,2022-03-15
17,48,28,2022-04-13
18,26,12,2022-05-12
19,50,61,2022-06-10
20,46,96,2022-07-09
21,44,47,2022-08-08
22,45,20,2022-09-06
23,12,24,2022-10-05
24,27,3,2022-11-03
25,14,42,2022-12-02
26,39,74,2023-01-01
27,12,6,2023-01-30
28,11,16,2023-02-28
29,16,2,2023-03-29
30,32,91,2023-04-27
31,4,15,2023-05-27
32,29,16,2023-06-25
33,31,34,2023-07-24
34,21,13,2023-08-22
35,21,33,2023-09-20
36,32,1,2023-10-20
37,23,21,2023-11-18
38,32,35,2023-12-17
39,49,97,2024-01-15
40,26,98,2024-02-13
41,21,72,2024-03-14
42,40,78,2024-04-12
43,34,31,2024-05-11
44,37,51,2024-06-09
45,35,26,2024-07-08
46,50,45,2024-08-07
47,9,72,2024-09-05
48,44,4,2024-10-04
49,47,99,2024-11-02
50,49,30,2024-12-01
